]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
3.1480,167.6210
3.1800,167.6028
3.2120,167.6028
3.2390,168.1628
3.2750,168.1628
3.3020,168.9081
3.3340,169.2428
3.3650,169.2428
3.3920,169.2155
3.4240,169.2155
3.4510,169.0556
3.4830,168.1823
3.5160,168.1823
3.5430,166.3738
3.5790,164.5387
3.6110,164.5387
3.6390,162.3646
3.6710,162.3646
3.6980,159.8978
3.7300,157.0797
3.7630,157.0797
3.7900,153.5294
3.8260,149.9484
3.8570,149.9484
3.8850,146.9040
3.9180,146.9040
3.9450,144.4046
3.9780,142.6025
4.0090,142.6025
4.0360,140.7385
4.0680,140.7385
4.0960,139.0847
4.1320,137.8261
4.1630,137.8261
4.1900,136.8427
4.2220,136.8427
4.2490,135.8635
4.2810,134.8666
4.3130,134.8666
4.3400,133.7802
4.3760,132.5946
4.4080,132.5946
4.4360,131.4078
4.4680,131.4078
4.4950,130.3027
4.5280,129.6356
4.5600,129.6356
4.5870,129.3889
4.6230,129.1945
4.6560,129.1945
4.6830,129.0474
4.7150,129.0474
4.7420,128.8848
4.7740,128.7385
4.8070,128.7385
4.8330,128.5836
4.8650,128.5836
4.8930,128.1102
4.9280,127.3665
4.9600,127.3665
4.9870,126.4002
5.0200,126.4002
5.0460,125.3547
5.0780,124.3855
5.1100,124.3855
5.1370,123.3270
5.1740,122.2061
5.2060,122.2061
5.2330,121.1274
5.2660,121.1274
5.2930,120.1409
5.3250,119.0853
5.3570,119.0853
5.3850,118.0006
5.4170,118.0006
5.4440,116.9098
5.4810,115.9023
5.5140,115.9023
5.5410,114.9961
5.5730,114.2200
5.6050,114.2200
5.6320,113.5135
5.6640,113.5135
5.6910,112.8800
5.7290,112.4118
5.7610,112.4118
5.7880,111.9728
5.8190,111.9728
5.8460,111.3239
5.8780,110.5095
5.9090,110.5095
5.9360,109.7777
5.9720,109.1352
6.0050,109.1352
6.0320,108.4604
6.0650,108.4604
6.0920,107.6519
6.1240,107.0004
6.1560,107.0004
6.1840,106.4973
6.2160,106.4973
6.2430,105.6828
6.2790,104.5444
6.3120,104.5444
6.3390,103.6796
6.3710,103.0583
6.4030,103.0583
6.4300,102.4303
6.4620,102.4303
6.4890,101.3315
6.5250,100.4094
6.5570,100.4094
6.5840,99.8307
6.6160,99.8307
