]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
0.0250,0.0000
0.0530,0.0000
0.0860,0.0070
0.1180,0.0070
0.1440,0.0070
0.1770,0.0070
0.2040,0.0070
0.2370,-0.0000
0.2680,-0.0000
0.2960,-0.0140
0.3320,1.9111
0.3650,1.9111
0.3920,2.4434
0.4240,2.4434
0.4510,2.4297
0.4820,2.5927
0.5150,2.5927
0.5420,2.8035
0.5780,3.4646
0.6100,3.4646
0.6380,4.2484
0.6700,4.2484
0.6970,5.2422
0.7300,6.5381
0.7630,6.5381
0.7900,8.1279
0.8210,8.1279
0.8490,10.0010
0.8850,12.1089
0.9170,12.1089
0.9430,14.5321
0.9760,14.5321
1.0020,17.1510
1.0340,20.1211
1.0650,20.1211
1.0930,23.3268
1.1290,26.6655
1.1610,26.6655
1.1880,30.1917
1.2210,30.1917
1.2480,33.2717
1.2800,36.6014
1.3110,36.6014
1.3390,39.7547
1.3750,39.7547
1.4010,42.4079
1.4340,44.4058
1.4650,44.4058
1.4910,46.3288
1.5230,46.3288
1.5510,48.5809
1.5830,50.9805
1.6140,50.9805
1.6420,53.1769
1.6780,55.4807
1.7090,55.4807
1.7360,57.3314
1.7680,57.3314
1.7960,58.8285
1.8280,59.9799
1.8610,59.9799
1.8890,60.8303
1.9250,61.4960
1.9570,61.4960
1.9840,62.3044
2.0180,62.3044
2.0450,63.4017
2.0770,64.8311
2.1100,64.8311
2.1370,66.1296
2.1690,66.1296
2.1960,67.1346
2.2320,68.1114
2.2650,68.1114
2.2920,69.0515
2.3230,69.0515
2.3500,69.9554
2.3820,70.8536
2.4130,70.8536
2.4390,71.7669
2.4760,72.6249
2.5080,72.6249
2.5350,73.4684
2.5670,73.4684
2.5950,74.2658
2.6270,75.0578
2.6590,75.0578
2.6860,75.8993
2.7190,75.8993
2.7500,76.5577
2.7810,77.1022
2.8120,77.1022
2.8400,77.5056
2.8710,77.5056
2.8980,77.9554
2.9310,78.5231
2.9620,78.5231
2.9880,79.2115
3.0250,79.9409
3.0580,79.9409
3.0850,80.5728
3.1170,80.5728
3.1440,81.2621
3.1770,81.9287
3.2090,81.9287
3.2360,82.5041
3.2730,82.8495
3.3070,82.8495
3.3340,82.8588
3.3660,82.8588
3.3930,82.6903
3.4260,82.6070
3.4580,82.6070
3.4850,82.7649
